gx,gy,gz
670,156,542
-1539,-3231,1113
-551,1745,-101
10,-1149,-391
161,3018,1486
1501,-600,-80
-896,-2195,-9
997,1359,1059
922,-1906,-2735
-1302,1237,2396
5189,-3025,-3123
-797,10170,2748
2817,-3254,-5845
-432,4596,4332
3690,-473,-2401
808,1207,-1512
-1279,548,1502
131,911,-1420
2646,2423,-2608
68,-337,1586
2970,1822,-2095
-1013,-770,2295
-551,-535,379
315,558,136
4056,-624,6095
-3671,-17296,-110
17577,22847,-3067
-6681,13917,4090
-8674,6300,-4089
-994,25170,-13137
32768,-2404,-3742
-2308,-16610,407
-312,776,-9931
-473,2970,-2418
-1288,-814,-2177
-425,-748,-8450
-496,4110,2597
1844,-2060,-2264
4378,7471,374
-70,-2904,1447
4583,-1221,1663
160,158,1286
1116,2193,1834
-154,-740,676
248,-246,-977
2845,657,-1884
-2557,986,5870
5235,1992,-2500
-965,-99,4787
82,-3805,-859
9472,6156,-2669
4431,-406,5161
-1264,2140,-8084
-1416,-2549,9002
155,-212,5145
1154,2516,-6359
-645,809,5801
2188,1803,-4942
430,674,11099
-830,-818,-5531
2064,-398,4203
2279,-2661,-5071
-474,5352,30
3754,1788,759
-1022,-5538,-532
2440,5696,2273
1693,-2503,-2882
1606,4315,3663
3908,-4646,8029
-3378,-762,2543
446,546,-29
75,243,-142
180,316,-485
-390,2,-3
-184,288,82
185,283,-127
-294,248,128
-217,298,-42
-171,240,-40
-190,275,-32
-399,322,138
-487,148,82
-150,219,-73
-62,307,-96
-121,221,-113
-293,84,-185
